Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Comoros,Africa,8131,935.027,0,0,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7459,147.479,1,0.02,0,294,5.813,0,0,0
Chad,Africa,7418,45.16,1,0.006,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,0,0,0,62,205.047,0,0,0
American Samoa,Western Pacific,6192,11218.001,0,0,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6160,15909.913,12,30.993,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5824,10949.015,19,35.72,0,43,80.839,0,0,0
Cook Islands,Western Pacific,5717,32549.533,20,113.869,0,1,5.693,0,0,0
Palau,Western Pacific,5145,28437.984,62,342.693,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4614,46676.783,0,0,0,4,40.465,0,0,0
Anguilla,Americas,3342,22277.03,48,319.957,0,9,59.992,0,0,0
Kiribati,Western Pacific,3204,2682.316,106,88.741,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2765,47713.546,3,51.769,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1733,49755.958,16,459.374,0,0,0,0,0,0
Montserrat,Americas,1010,20204.041,7,140.028,0,8,160.032,0,0,0
Sint Eustatius,Americas,937,29850.271,13,414.145,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,607,31401.966,2,103.466,0,1,51.733,1,51.733,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,34,29.559,3,2.608,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,0,0,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
